run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002453,ArcelorMittal Eisenhuettenstadt GmbH,Steel,3,8.267683064056008e-6,4.040555504880583e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002453,ArcelorMittal Eisenhuettenstadt GmbH,Steel,4,1.3047889571171645e-4,0.0023838521577429495,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002453,ArcelorMittal Eisenhuettenstadt GmbH,Steel,5,6.985527832674698e-4,0.007067269882626848,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002454,Arcelormittal Mediterranee SAS,Steel,1,3.774758283725532e-15,2.931736381328598e-5,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002454,Arcelormittal Mediterranee SAS,Steel,2,3.587794894510665e-8,0.003168685164407936,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002454,Arcelormittal Mediterranee SAS,Steel,3,8.267683064056008e-6,0.016266270729048626,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002454,Arcelormittal Mediterranee SAS,Steel,4,1.3047889571171645e-4,0.03815323268437398,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002454,Arcelormittal Mediterranee SAS,Steel,5,6.985527832674698e-4,0.06490357750099873,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002455,Arcelormittal Nippon Steel India Ltd,Steel,1,3.9758307757153943e-11,1.1966871937829637e-11,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002455,Arcelormittal Nippon Steel India Ltd,Steel,2,3.214428880404796e-6,1.760603128730942e-6,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002455,Arcelormittal Nippon Steel India Ltd,Steel,3,1.5073041265845077e-4,1.008204896485454e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
