run_id,company_id,asset_id,company_name,asset_name,sector,technology,net_present_value_baseline,net_present_value_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010583,P100000120084-1,Sgis Songshan Co Ltd,SGIS Songshan Co Ltd,Steel,BOF-BF,2424073928.4787273,510232804.74586546,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010584,P100000120394-1,"Hezhou Zhaoxin Hardware Products Co., Ltd.",Hezhou Zhaoxin Hardware Products Co Ltd,Steel,EAF-MM,1421907670.3396518,1314759264.0012996,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010586,P100000120295-1,"Xinjiang Da'an Special Steel Co., Ltd.",Xinjiang Da'an Special Steel Co Ltd,Steel,BOF-BF,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010587,P100000120293-1,"Xinjiang Yili Iron and Steel Co., Ltd.",Xinjiang Yili Iron and Steel Co Ltd,Steel,BOF-BF,318957095.85246396,67135895.36129807,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010698,P100000120128-1,"Tangshan Fengnan District Jing'an Iron and Steel Co., Ltd.",Tangshan Fengnan District Jing'an Iron and Steel Co Ltd,Steel,BOF-BF,819879214.8887595,301452326.34035015,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001011212,P100000120710-1,Qazaqstan Investment Corporation AO,QIC Qarmet steel plant,Steel,BOF-BF,3215135.006106347,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012045,P100000120289-1,"Baosteel Group Xinjiang Bayi Iron & Steel Co., Ltd.",Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,Steel,BOF-BF,2083268271.560371,438498100.5523185,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012056,P100000121196-1,Hellenic Halyvourgia SA,Hellenic Halyvourgia Velestino steel plant,Steel,EAF-MM,1294394940.559915,1196855305.640939,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012066,P100000120598-1,Iranian Sirjan Steel Company,Sirjan Iranian Steel Kerman Plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012070,P100000120804-1,Chelyabinskiy Truboprokatnyi Zavod AO,Iron Ozone 32 steel plant,Steel,EAF-MM,1350812286.8226695,1249021300.8012345,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012093,P100000120908-1,SUE DPR UMP,Yuzovsky Metallurgical Plant,Steel,EAF-MM,1849135629.3713067,1709793293.7727697,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001012096,P100000121195-1,Evonith Metallics Limited,Evonith Metallics Wardha Steel Plant,Steel,BOF-BF,239217821.88934827,50351921.52097357,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
